INFO 2024-07-14 12:56:58,379 Watching for file changes with StatReloader
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/vimal/Videos/workspace/vimalonrequest/onrequestlab-backend/onrequestlab/myenv/lib/python3.11/site-packages/django/views/decorators/csrf.py", line 56, in wrapper_view
    return view_func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/vimal/Videos/workspace/vimalonrequest/onrequestlab-backend/onrequestlab/myenv/lib/python3.11/site-packages/django/views/generic/base.py", line 104, in view
    return self.dispatch(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/vimal/Videos/workspace/vimalonrequest/onrequestlab-backend/onrequestlab/myenv/lib/python3.11/site-packages/rest_framework/views.py", line 509, in dispatch
    response = self.handle_exception(exc)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/vimal/Videos/workspace/vimalonrequest/onrequestlab-backend/onrequestlab/myenv/lib/python3.11/site-packages/rest_framework/views.py", line 469, in handle_exception
    self.raise_uncaught_exception(exc)
  File "/home/vimal/Videos/workspace/vimalonrequest/onrequestlab-backend/onrequestlab/myenv/lib/python3.11/site-packages/rest_framework/views.py", line 480, in raise_uncaught_exception
    raise exc
  File "/home/vimal/Videos/workspace/vimalonrequest/onrequestlab-backend/onrequestlab/myenv/lib/python3.11/site-packages/rest_framework/views.py", line 506, in dispatch
    response = handler(request, *args, **kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/vimal/Videos/workspace/vimalonrequest/onrequestlab-backend/onrequestlab/users/views.py", line 382, in put
    t2 = str(rentHours).split(":")[1]
         ~~~~~~~~~~~~~~~~~~~~~~~~~^^^
IndexError: list index out of range
ERROR 2024-07-14 12:59:49,036 "PUT /api/v1/users/orl/cldinst HTTP/1.1" 500 98804
INFO 2024-07-14 12:59:49,061 "POST /api/v1/lab/userinst/15 HTTP/1.1" 200 414
INFO 2024-07-14 12:59:50,277 "GET /api/v1/lab/userinst/15 HTTP/1.1" 200 339
INFO 2024-07-14 12:59:50,305 "POST /api/v1/lab/userinst/15 HTTP/1.1" 200 414
INFO 2024-07-14 12:59:52,278 "GET /api/v1/lab/userinst/15 HTTP/1.1" 200 339
INFO 2024-07-14 12:59:52,299 "POST /api/v1/lab/userinst/15 HTTP/1.1" 200 414
INFO 2024-07-14 12:59:54,276 "GET /api/v1/lab/userinst/15 HTTP/1.1" 200 339
INFO 2024-07-14 12:59:54,306 "POST /api/v1/lab/userinst/15 HTTP/1.1" 200 414
INFO 2024-07-14 12:59:56,279 "GET /api/v1/lab/userinst/15 HTTP/1.1" 200 339
INFO 2024-07-14 12:59:56,308 "POST /api/v1/lab/userinst/15 HTTP/1.1" 200 414
INFO 2024-07-14 12:59:58,275 "GET /api/v1/lab/userinst/15 HTTP/1.1" 200 339
INFO 2024-07-14 12:59:58,306 "POST /api/v1/lab/userinst/15 HTTP/1.1" 200 414
INFO 2024-07-14 13:00:00,275 "GET /api/v1/lab/userinst/15 HTTP/1.1" 200 339
INFO 2024-07-14 13:00:00,304 "POST /api/v1/lab/userinst/15 HTTP/1.1" 200 414
INFO 2024-07-14 13:00:01,288 "GET /api/v1/lab/alluserinst/ HTTP/1.1" 200 339
INFO 2024-07-14 13:00:01,288 "GET /api/v1/users/userlist/ HTTP/1.1" 201 432
INFO 2024-07-14 13:00:01,724 "GET /api/v1/lab/userinst/15 HTTP/1.1" 200 339
INFO 2024-07-14 13:00:01,727 "POST /api/v1/lab/userinst/15 HTTP/1.1" 200 414
INFO 2024-07-14 13:00:01,756 "POST /api/v1/lab/userinst/15 HTTP/1.1" 200 414
INFO 2024-07-14 13:00:02,276 "GET /api/v1/lab/userinst/15 HTTP/1.1" 200 339
INFO 2024-07-14 13:00:02,305 "POST /api/v1/lab/userinst/15 HTTP/1.1" 200 414
INFO 2024-07-14 13:00:04,275 "GET /api/v1/lab/userinst/15 HTTP/1.1" 200 339
INFO 2024-07-14 13:00:04,308 "POST /api/v1/lab/userinst/15 HTTP/1.1" 200 414
INFO 2024-07-14 13:00:06,277 "GET /api/v1/lab/userinst/15 HTTP/1.1" 200 339
INFO 2024-07-14 13:00:06,298 "POST /api/v1/lab/userinst/15 HTTP/1.1" 200 414
